model_id	author	pipeline_tag	url	days_seen	frequency_pct	first_seen	last_seen	latest_rank	latest_downloads	latest_likes	latest_numParameters	latest_lastModified	rank_2026-09-10	rank_2026-09-11	rank_2026-09-12	rank_2026-09-13	rank_2026-09-14	rank_2026-09-15	rank_2026-09-16
openbmb/MiniCPM5-2B	openbmb	text-generation	https://huggingface.co/openbmb/MiniCPM5-2B	7	100	2026-09-10	2026-09-16	3	271754	1467	2516756480	2026-09-12T07:20:14.000Z	1	2	2	2	2	3	3
Qwen/Qwen3.8-27B	Qwen	image-text-to-text	https://huggingface.co/Qwen/Qwen3.8-27B	7	100	2026-09-10	2026-09-16	4	7702543	15286	27781427952	2026-08-14T15:00:01.000Z	4	5	5	4	5	5	4
ISTA-DASLab/Qwen3.8-27B-GSQ-RCO-GGUF	ISTA-DASLab	image-text-to-text	https://huggingface.co/ISTA-DASLab/Qwen3.8-27B-GSQ-RCO-GGUF	7	100	2026-09-10	2026-09-16	8	884926	1146	26895998464	2026-09-02T09:11:34.000Z	3	4	6	8	7	8	8
Lightricks/LTX-2.5	Lightricks	image-to-video	https://huggingface.co/Lightricks/LTX-2.5	7	100	2026-09-10	2026-09-16	9	1580077	4010		2026-09-01T06:29:03.000Z	6	7	8	9	10	9	9
deepseek-ai/DeepSeek-V4.1-Flash	deepseek-ai	image-text-to-text	https://huggingface.co/deepseek-ai/DeepSeek-V4.1-Flash	6	85.7	2026-09-11	2026-09-16	1	325712	2716	763205315794	2026-09-10T08:18:10.000Z		1	1	1	1	1	1
nex-agi/Nex-N2.5-mini	nex-agi	text-generation	https://huggingface.co/nex-agi/Nex-N2.5-mini	6	85.7	2026-09-11	2026-09-16	5	5202	810	35107181936	2026-09-08T16:17:10.000Z		6	4	3	4	4	5
nex-agi/Nex-N2.5-Pro	nex-agi	text-generation	https://huggingface.co/nex-agi/Nex-N2.5-Pro	5	71.4	2026-09-12	2026-09-16	7	30881	652	396802360816	2026-09-11T03:37:15.000Z			7	7	6	6	7
XHToken/Spark-X2.5-4B	XHToken	text-generation	https://huggingface.co/XHToken/Spark-X2.5-4B	5	71.4	2026-09-10	2026-09-14	8	21336	1155	4112079360	2026-09-14T02:58:09.000Z	2	3	3	6	8		
Edge0/Edge0-35B-A3B-preview	Edge0	text-generation	https://huggingface.co/Edge0/Edge0-35B-A3B-preview	4	57.1	2026-09-13	2026-09-16	2	17853	2845	34660610688	2026-09-14T04:08:09.000Z				5	3	2	2
unsloth/Qwen3.8-27B-GGUF	unsloth		https://huggingface.co/unsloth/Qwen3.8-27B-GGUF	4	57.1	2026-09-10	2026-09-13	10	11529203	3952	27320697856	2026-08-20T12:04:25.000Z	7	8	9	10			
